"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
80,0.4577144,0.2,"TC",18.6139952147362
100,0.4577144,0.2,"TC",16.1084545311939
80,0.5154289,0.2,"TC",17.9467987614337
100,0.5154289,0.2,"TC",11.845032405261
90,0.4865717,0.2,"TC",17.2543840725985
80,0.4577144,0.2,"TC",19.966126284147
100,0.4577144,0.2,"TC",17.4092448262354
80,0.5154289,0.2,"TC",16.4157635037629
100,0.5154289,0.2,"TC",14.4079533443717
90,0.4865717,0.2,"TC",14.404232188864
80,0.4577144,0.2,"TC",15.7899618659358
100,0.4577144,0.2,"TC",13.5507576658559
80,0.5154289,0.2,"TC",17.081706716624
100,0.5154289,0.2,"TC",12.604156505882
90,0.4865717,0.2,"TC",13.8574135673953
80,0.4577144,0.2,"TC",17.4353032615975
100,0.4577144,0.2,"TC",14.7881580717797
80,0.5154289,0.2,"TC",14.6700622938145
100,0.5154289,0.2,"TC",20.135008745077
90,0.4865717,0.2,"TC",24.70414860993
80,0.4577144,0.2,"TC",17.3634282520129
100,0.4577144,0.2,"TC",12.0477976460845
80,0.5154289,0.2,"TC",12.831339966281
100,0.5154289,0.2,"TC",19.3687255362336
90,0.4865717,0.2,"TC",18.6451733301983
80,0.4577144,0.2,"TC",20.2316924318999
100,0.4577144,0.2,"TC",16.8827196106708
80,0.5154289,0.2,"TC",13.6363042053837
100,0.5154289,0.2,"TC",17.2902192552324
90,0.4865717,0.2,"TC",15.8586360690871
80,0.4577144,0.2,"TC",20.5885031239543
100,0.4577144,0.2,"TC",22.9263216338727
80,0.5154289,0.2,"TC",17.2800659467222
100,0.5154289,0.2,"TC",15.838355869332
90,0.4865717,0.2,"TC",15.8961654837995
80,0.4577144,0.2,"TC",21.008789706894
100,0.4577144,0.2,"TC",20.5328779100289
80,0.5154289,0.2,"TC",17.6674038906083
100,0.5154289,0.2,"TC",16.3042856334038
90,0.4865717,0.2,"TC",22.861808955486
80,0.4577144,0.2,"TC",16.5764944682516
100,0.4577144,0.2,"TC",14.7259203026256
80,0.5154289,0.2,"TC",17.5611423759343
100,0.5154289,0.2,"TC",17.8330002831753
90,0.4865717,0.2,"TC",15.7166442366988
80,0.4577144,0.2,"TC",19.4439428839585
100,0.4577144,0.2,"TC",17.2510475202221
