"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
30,0.3,0.2,"TC",27.376535150204
90,0.3,0.2,"TC",16.9265096588189
30,0.5,0.2,"TC",18.8126249989312
90,0.5,0.2,"TC",20.0674124119387
60,0.4,0.2,"TC",23.4461791041977
30,0.3,0.2,"TC",23.345318828335
90,0.3,0.2,"TC",15.2209716095962
30,0.5,0.2,"TC",26.2045111338738
90,0.5,0.2,"TC",16.9246758195099
60,0.4,0.2,"TC",19.0554871731057
30,0.3,0.2,"TC",18.5479538758639
90,0.3,0.2,"TC",17.8751949524682
30,0.5,0.2,"TC",23.6714856024313
90,0.5,0.2,"TC",15.1462975059963
60,0.4,0.2,"TC",19.4292241912895
30,0.3,0.2,"TC",22.4303424000808
90,0.3,0.2,"TC",18.7943693273934
30,0.5,0.2,"TC",21.9181065654871
90,0.5,0.2,"TC",15.4590041371726
60,0.4,0.2,"TC",18.4699648366704
30,0.3,0.2,"TC",21.9130679757071
90,0.3,0.2,"TC",29.0020832780078
30,0.5,0.2,"TC",21.881146427767
90,0.5,0.2,"TC",12.3042882465529
60,0.4,0.2,"TC",19.108470001152
30,0.3,0.2,"TC",20.7555903506703
90,0.3,0.2,"TC",21.0449264656354
30,0.5,0.2,"TC",23.1988304907993
90,0.5,0.2,"TC",16.551165859377
60,0.4,0.2,"TC",19.5909959251766
30,0.3,0.2,"TC",21.7447841170665
90,0.3,0.2,"TC",20.7856005790954
30,0.5,0.2,"TC",18.15296111684
90,0.5,0.2,"TC",18.3599659520736
60,0.4,0.2,"TC",18.080655550838
30,0.3,0.2,"TC",20.7575491023837
90,0.3,0.2,"TC",19.8554378365802
30,0.5,0.2,"TC",20.7298041832892
90,0.5,0.2,"TC",20.1081680446176
60,0.4,0.2,"TC",18.5714284981098
30,0.3,0.2,"TC",23.9819116469724
90,0.3,0.2,"TC",19.4977108979909
30,0.5,0.2,"TC",18.743186199556
90,0.5,0.2,"TC",20.0342589562748
60,0.4,0.2,"TC",16.3702851066866
30,0.3,0.2,"TC",23.609982667215
90,0.3,0.2,"TC",14.8434586409437
30,0.5,0.2,"TC",24.5755492816933
90,0.5,0.2,"TC",16.2316207809297
60,0.4,0.2,"TC",16.6305482997481
30,0.3,0.2,"TC",23.5575669280957
90,0.3,0.2,"TC",17.2096554060551
30,0.5,0.2,"TC",12.9946510774214
90,0.5,0.2,"TC",17.5446620849987
60,0.4,0.2,"TC",19.4372633062019
30,0.3,0.2,"TC",15.8284118668292
90,0.3,0.2,"TC",17.0792879707586
30,0.5,0.2,"TC",17.3528432231317
90,0.5,0.2,"TC",21.3432110717814
60,0.4,0.2,"TC",13.5801657725898
30,0.3,0.2,"TC",20.9147461072146
90,0.3,0.2,"TC",23.575040083698
30,0.5,0.2,"TC",21.896412601895
90,0.5,0.2,"TC",14.6328961628624
60,0.4,0.2,"TC",13.6939696578058
30,0.3,0.2,"TC",15.783655664487
90,0.3,0.2,"TC",21.7597986125899
30,0.5,0.2,"TC",17.8852004995064
90,0.5,0.2,"TC",12.1225382180777
60,0.4,0.2,"TC",21.4421245821763
30,0.3,0.2,"TC",20.7197102779852
90,0.3,0.2,"TC",23.128794783985
30,0.5,0.2,"TC",17.8036292197779
90,0.5,0.2,"TC",17.4849377711066
60,0.4,0.2,"TC",19.3525184429315
30,0.3,0.2,"TC",20.3250593926547
90,0.3,0.2,"TC",16.2305268276417
30,0.5,0.2,"TC",17.4573508270004
90,0.5,0.2,"TC",16.0449501416706
60,0.4,0.2,"TC",18.8587623058876
30,0.3,0.2,"TC",19.0326730917048
90,0.3,0.2,"TC",20.8421086896906
30,0.5,0.2,"TC",23.0190283324709
90,0.5,0.2,"TC",18.8710768566323
60,0.4,0.2,"TC",19.4582683132523
30,0.3,0.2,"TC",21.155434308194
90,0.3,0.2,"TC",19.9524997972671
30,0.5,0.2,"TC",21.0591670074595
90,0.5,0.2,"TC",20.6648086112916
60,0.4,0.2,"TC",20.104984198604
30,0.3,0.2,"TC",21.4025663913758
90,0.3,0.2,"TC",17.3298641308301
30,0.5,0.2,"TC",18.0031266475083
90,0.5,0.2,"TC",12.2776851092064
60,0.4,0.2,"TC",18.1977267294338
30,0.3,0.2,"TC",20.6065593815169
90,0.3,0.2,"TC",15.5818635589073
30,0.5,0.2,"TC",15.8417079972517
90,0.5,0.2,"TC",11.9708140746221
60,0.4,0.2,"TC",20.0530217216076
30,0.3,0.2,"TC",25.556022435145
90,0.3,0.2,"TC",20.1817780751627
30,0.5,0.2,"TC",24.5582452155241
90,0.5,0.2,"TC",17.9265268300643
60,0.4,0.2,"TC",19.4808530256047
30,0.3,0.2,"TC",20.3520440517375
90,0.3,0.2,"TC",22.8626292593037
30,0.5,0.2,"TC",16.8594462411687
90,0.5,0.2,"TC",12.7306497223237
60,0.4,0.2,"TC",19.3359850395954
30,0.3,0.2,"TC",21.3893752900362
90,0.3,0.2,"TC",26.7902200209214
30,0.5,0.2,"TC",26.1987361124335
90,0.5,0.2,"TC",20.8789835787214
60,0.4,0.2,"TC",22.9607937084019
30,0.3,0.2,"TC",20.9470223237554
90,0.3,0.2,"TC",17.9677965718704
30,0.5,0.2,"TC",18.9945031083459
90,0.5,0.2,"TC",15.525580716963
60,0.4,0.2,"TC",17.6533705381485
30,0.3,0.2,"TC",17.035983062118
90,0.3,0.2,"TC",25.5105127785519
30,0.5,0.2,"TC",24.1807332171098
90,0.5,0.2,"TC",18.0215746891815
60,0.4,0.2,"TC",17.7545921469636
30,0.3,0.2,"TC",26.3299260928526
90,0.3,0.2,"TC",18.5723139137032
30,0.5,0.2,"TC",22.764768349971
90,0.5,0.2,"TC",23.9495193547135
60,0.4,0.2,"TC",25.0303477492486
30,0.3,0.2,"TC",18.729922584479
90,0.3,0.2,"TC",20.3780977762944
30,0.5,0.2,"TC",15.6780748989199
90,0.5,0.2,"TC",20.1554704470451
60,0.4,0.2,"TC",16.2641940451509
30,0.3,0.2,"TC",22.9405247802627
90,0.3,0.2,"TC",21.5393790525324
30,0.5,0.2,"TC",24.1448704886116
90,0.5,0.2,"TC",15.570209412119
60,0.4,0.2,"TC",20.8582672010165
30,0.3,0.2,"TC",16.1947084939081
90,0.3,0.2,"TC",22.4198144701602
30,0.5,0.2,"TC",24.2725668453186
90,0.5,0.2,"TC",18.1342079480323
60,0.4,0.2,"TC",19.7995699157649
30,0.3,0.2,"TC",16.6905223750812
90,0.3,0.2,"TC",21.1822660537228
30,0.5,0.2,"TC",17.082036753767
90,0.5,0.2,"TC",10.5489693810764
60,0.4,0.2,"TC",24.7116666656313
30,0.3,0.2,"TC",20.4503761926841
90,0.3,0.2,"TC",16.8526007403639
30,0.5,0.2,"TC",18.8857645295138
90,0.5,0.2,"TC",16.6682036010974
60,0.4,0.2,"TC",14.4888198804406
30,0.3,0.2,"TC",22.9596744800829
90,0.3,0.2,"TC",17.9076704418107
30,0.5,0.2,"TC",21.7947404311935
90,0.5,0.2,"TC",15.4053358726542
60,0.4,0.2,"TC",18.587770526949
30,0.3,0.2,"TC",23.6621903779202
90,0.3,0.2,"TC",21.0040619171842
30,0.5,0.2,"TC",22.3213361870931
90,0.5,0.2,"TC",11.3010840354205
60,0.4,0.2,"TC",19.1870116554225
30,0.3,0.2,"TC",18.7160694993206
90,0.3,0.2,"TC",30.3206786405956
30,0.5,0.2,"TC",14.7294982393524
90,0.5,0.2,"TC",18.3706596434447
60,0.4,0.2,"TC",18.2370242692476
30,0.3,0.2,"TC",22.4111591092741
90,0.3,0.2,"TC",21.7932031243508
30,0.5,0.2,"TC",17.5664340823325
90,0.5,0.2,"TC",16.8354618170963
60,0.4,0.2,"TC",22.9962891655801
30,0.3,0.2,"TC",19.7874651950179
90,0.3,0.2,"TC",25.8161646257906
30,0.5,0.2,"TC",24.9559291856747
90,0.5,0.2,"TC",18.349794106379
60,0.4,0.2,"TC",15.2853829238992
30,0.3,0.2,"TC",20.4063313975122
90,0.3,0.2,"TC",18.5052775154779
30,0.5,0.2,"TC",18.8394818187561
90,0.5,0.2,"TC",16.4314099491011
60,0.4,0.2,"TC",14.5424779889015
30,0.3,0.2,"TC",19.6599050955481
90,0.3,0.2,"TC",18.6629281402405
30,0.5,0.2,"TC",17.7954060568618
90,0.5,0.2,"TC",15.9892094184444
60,0.4,0.2,"TC",20.4969247499692
30,0.3,0.2,"TC",20.88343304735
90,0.3,0.2,"TC",15.9213488607548
30,0.5,0.2,"TC",24.8851975794803
90,0.5,0.2,"TC",17.6690908129247
60,0.4,0.2,"TC",21.8601214570064
30,0.3,0.2,"TC",23.4163779374225
90,0.3,0.2,"TC",19.8543713658185
30,0.5,0.2,"TC",21.3594288565073
90,0.5,0.2,"TC",16.8576597561741
60,0.4,0.2,"TC",19.928417657776
30,0.3,0.2,"TC",15.448950333157
90,0.3,0.2,"TC",21.5266736196972
30,0.5,0.2,"TC",18.7227534230325
90,0.5,0.2,"TC",9.00763126061185
60,0.4,0.2,"TC",21.8921549447659
30,0.3,0.2,"TC",24.1023822992022
90,0.3,0.2,"TC",16.8892517935264
30,0.5,0.2,"TC",19.162622424722
90,0.5,0.2,"TC",16.9437250142878
60,0.4,0.2,"TC",17.6307742100417
30,0.3,0.2,"TC",21.1180229871219
90,0.3,0.2,"TC",20.8395493255527
30,0.5,0.2,"TC",16.3524208214435
90,0.5,0.2,"TC",17.4686890871971
60,0.4,0.2,"TC",16.7987926462905
30,0.3,0.2,"TC",18.2171269659182
90,0.3,0.2,"TC",18.4129637156323
30,0.5,0.2,"TC",12.0825153198584
90,0.5,0.2,"TC",15.2503711930774
60,0.4,0.2,"TC",19.1934134430778
30,0.3,0.2,"TC",19.2875735055589
90,0.3,0.2,"TC",18.3846319557774
30,0.5,0.2,"TC",25.039658272373
90,0.5,0.2,"TC",16.7443969804282
60,0.4,0.2,"TC",20.559963171382
30,0.3,0.2,"TC",20.1923783039457
90,0.3,0.2,"TC",10.700102944943
30,0.5,0.2,"TC",24.1544232337279
90,0.5,0.2,"TC",19.7003872143104
60,0.4,0.2,"TC",17.8848586716559
30,0.3,0.2,"TC",23.9529976265185
90,0.3,0.2,"TC",18.7623650774236
30,0.5,0.2,"TC",24.5890708399395
90,0.5,0.2,"TC",18.7089196327657
60,0.4,0.2,"TC",15.7992589123894
30,0.3,0.2,"TC",13.0919342131988
90,0.3,0.2,"TC",19.9019636923367
30,0.5,0.2,"TC",16.4975428223452
90,0.5,0.2,"TC",21.480375940912
60,0.4,0.2,"TC",16.5730215529416
30,0.3,0.2,"TC",16.9782666405559
90,0.3,0.2,"TC",20.7344287343838
30,0.5,0.2,"TC",20.1130396626975
90,0.5,0.2,"TC",16.3138996473459
60,0.4,0.2,"TC",19.5700801201319
30,0.3,0.2,"TC",15.5466294314559
90,0.3,0.2,"TC",22.0653322412974
30,0.5,0.2,"TC",12.258477669616
90,0.5,0.2,"TC",20.8750691101919
60,0.4,0.2,"TC",20.2200929545607
30,0.3,0.2,"TC",22.0188595179271
90,0.3,0.2,"TC",19.2332289149654
30,0.5,0.2,"TC",21.0993753262848
90,0.5,0.2,"TC",15.1060828077869
60,0.4,0.2,"TC",18.8648799186239
30,0.3,0.2,"TC",16.4871658048719
90,0.3,0.2,"TC",19.1668830830958
30,0.5,0.2,"TC",17.4669863228985
90,0.5,0.2,"TC",16.8280999406539
60,0.4,0.2,"TC",21.6059128940992
30,0.3,0.2,"TC",18.7638686582038
90,0.3,0.2,"TC",18.2883168116538
30,0.5,0.2,"TC",19.4147962372883
90,0.5,0.2,"TC",18.3629449315976
60,0.4,0.2,"TC",13.181023172694
30,0.3,0.2,"TC",21.7546080310182
90,0.3,0.2,"TC",14.2663618667149
30,0.5,0.2,"TC",18.9199829265705
90,0.5,0.2,"TC",16.3000178316627
60,0.4,0.2,"TC",17.3058359697348
30,0.3,0.2,"TC",22.2289623085897
90,0.3,0.2,"TC",24.926529496954
30,0.5,0.2,"TC",20.9753378985094
90,0.5,0.2,"TC",14.7781692280142
60,0.4,0.2,"TC",21.842969916224
30,0.3,0.2,"TC",22.4246242334878
90,0.3,0.2,"TC",21.2567298280276
30,0.5,0.2,"TC",12.1935902441761
90,0.5,0.2,"TC",14.6599305660305
60,0.4,0.2,"TC",17.9591178898479
30,0.3,0.2,"TC",16.5206755500865
90,0.3,0.2,"TC",20.4270784452802
30,0.5,0.2,"TC",18.5898484841922
90,0.5,0.2,"TC",13.5177400943811
60,0.4,0.2,"TC",19.3662082526219
30,0.3,0.2,"TC",18.7850851439263
90,0.3,0.2,"TC",20.046948597031
30,0.5,0.2,"TC",21.9700596280978
90,0.5,0.2,"TC",13.7728927333917
60,0.4,0.2,"TC",17.9114795830136
30,0.3,0.2,"TC",16.3126747505738
90,0.3,0.2,"TC",28.115463146804
30,0.5,0.2,"TC",18.8341906252239
90,0.5,0.2,"TC",12.9193293483702
60,0.4,0.2,"TC",21.7840326848439
30,0.3,0.2,"TC",20.8341798656087
90,0.3,0.2,"TC",21.0172528646449
30,0.5,0.2,"TC",22.2574011304188
90,0.5,0.2,"TC",16.7502988005666
60,0.4,0.2,"TC",19.3122180359181
30,0.3,0.2,"TC",20.3058512867906
90,0.3,0.2,"TC",20.9740764668978
30,0.5,0.2,"TC",16.1275944627566
90,0.5,0.2,"TC",16.7474769926597
60,0.4,0.2,"TC",18.0813824560034
30,0.3,0.2,"TC",17.1985263975419
90,0.3,0.2,"TC",21.2856227463612
30,0.5,0.2,"TC",18.8468971800303
90,0.5,0.2,"TC",19.3617060957537
60,0.4,0.2,"TC",17.6072225487877
30,0.3,0.2,"TC",19.5959333725552
90,0.3,0.2,"TC",17.0078421933917
30,0.5,0.2,"TC",20.8894824479695
90,0.5,0.2,"TC",14.4665411193928
60,0.4,0.2,"TC",18.9282012320382
30,0.3,0.2,"TC",19.6421080327163
90,0.3,0.2,"TC",14.2661524226873
30,0.5,0.2,"TC",23.0447214899702
90,0.5,0.2,"TC",14.9686138312237
60,0.4,0.2,"TC",16.9020909934382
30,0.3,0.2,"TC",21.1094105416494
90,0.3,0.2,"TC",18.5093149351527
30,0.5,0.2,"TC",23.2846473224703
90,0.5,0.2,"TC",13.3044157610046
60,0.4,0.2,"TC",16.0629242957632
30,0.3,0.2,"TC",20.8534564120101
90,0.3,0.2,"TC",22.3499626630322
30,0.5,0.2,"TC",15.6358995262208
90,0.5,0.2,"TC",14.4340029290857
60,0.4,0.2,"TC",16.5497914281696
30,0.3,0.2,"TC",18.6756409478193
90,0.3,0.2,"TC",20.8499749849488
30,0.5,0.2,"TC",21.2020830215185
90,0.5,0.2,"TC",15.278250008385
60,0.4,0.2,"TC",20.5491035782033
30,0.3,0.2,"TC",26.8453725932591
90,0.3,0.2,"TC",20.8005943028866
30,0.5,0.2,"TC",18.6475691106903
90,0.5,0.2,"TC",17.4865893238942
60,0.4,0.2,"TC",21.370593321438
30,0.3,0.2,"TC",16.9571827097519
90,0.3,0.2,"TC",22.1186557493288
30,0.5,0.2,"TC",23.2511909518369
